2024-11-19 08:02:52,5925,1117,4808
2024-11-19 09:03:32,5525,1133,4392
2024-11-19 10:02:51,5621,1071,4550
2024-11-19 11:01:10,5828,1038,4790
2024-11-19 12:02:07,6798,1286,5512
2024-11-19 13:03:35,7597,1536,6061
2024-11-19 14:01:09,8213,1716,6497
2024-11-19 15:04:29,9297,2011,7286
2024-11-19 16:01:59,10465,2341,8124
2024-11-19 17:01:12,7870,2606,5264
2024-11-19 18:03:32,12326,2888,9438
2024-11-19 19:02:13,13237,3086,10151
2024-11-19 20:00:47,13838,3151,10687
2024-11-19 21:04:02,13457,2850,10607
2024-11-19 22:00:50,13200,2823,10377
2024-11-19 23:01:29,12910,2872,10038
2024-11-20 00:03:10,13718,3504,10214
2024-11-20 01:01:07,14682,3820,10862
2024-11-20 02:00:13,14778,3676,11102
2024-11-20 03:05:07,13285,3011,10274
2024-11-20 04:03:44,11337,2353,8984
2024-11-20 05:00:59,9460,1807,7653
2024-11-20 06:00:55,8353,1406,6947
2024-11-20 07:05:04,7130,1171,5959
2024-11-20 08:01:48,6300,1205,5095
2024-11-20 09:04:49,6700,1231,5469
2024-11-20 10:03:42,6930,1249,5681
